price,rooms,area,build_year,condition,energy_mark,bedrooms,prepayment,floor,total_floors,copy_not_allowed,no_broker_allowed,images_attached,is_owner,utility_summer,utility_winter,county,mun_or_city,street_adr,house_type,heating,furnished,washing_machine,balcony,yard,terrace,parking,has_internet,has_security_door,has_video_surveillance,has_storage,has_first_rent,has_deposit,has_commission,has_contract_fee,description_header_is_all_caps,description_header_length
700.0,2.0,63.9,1930.0,3.0,3.0,1.0,,1.0,6.0,False,False,16.0,False,,,Harjumaa,Tallinn,Gonsiori 14,Kivimaja,keskküte,True,True,False,False,False,False,False,False,False,False,True,True,True,False,False,45.0
450.0,2.0,37.2,2019.0,5.0,7.0,,,1.0,8.0,False,False,25.0,False,,,Tartumaa,Tartu,Riia 22a,,"põrandaküte, keskküte, konditsioneer",True,True,True,False,False,True,True,True,True,True,True,True,False,True,True,50.0
1700.0,4.0,105.0,1916.0,3.0,,3.0,,,,False,False,34.0,False,,,Harjumaa,Tallinn,Tatari 21a/1,Puitmaja,"põrandaküte, gaasiküte, ahjuküte, kombineeritud küte",True,True,False,False,False,True,True,False,False,False,True,True,True,False,True,33.0
495.0,1.0,45.5,2003.0,3.0,6.0,1.0,600.0,3.0,4.0,False,False,12.0,False,40.0,110.0,Harjumaa,Tallinn,Rahumäe tee 6b-31,Kivimaja,keskküte,True,True,False,True,False,False,True,False,False,False,False,False,True,False,False,46.0
375.0,1.0,17.5,2020.0,3.0,,1.0,,1.0,3.0,False,False,14.0,False,,,Harjumaa,Tallinn,Katusepapi 13,Kivimaja,keskküte,False,False,False,False,False,True,False,False,False,False,True,True,True,False,True,44.0
1100.0,4.0,149.3,,3.0,,3.0,,2.0,3.0,False,False,29.0,False,,,Harjumaa,Tallinn,Pikk 45,Kivimaja,"elektriküte, kamin",True,True,False,False,False,False,True,False,False,False,False,True,True,False,False,31.0
270.0,1.0,12.0,1967.0,3.0,,,,2.0,5.0,False,False,15.0,False,35.0,60.0,Harjumaa,Tallinn,E. Vilde tee 90,Paneelmaja,keskküte,True,True,False,False,False,True,True,True,True,False,False,False,False,True,False,15.0
2450.0,3.0,156.0,2007.0,5.0,4.0,2.0,,3.0,5.0,False,False,24.0,False,280.0,550.0,Harjumaa,Tallinn,Supluse pst 1,Kivimaja,"põrandaküte, keskküte, kamin, konditsioneer",True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,31.0
3200.0,3.0,107.9,1911.0,3.0,,2.0,,2.0,6.0,False,False,33.0,False,,,Harjumaa,Tallinn,Pagari 1,,"keskküte, põrandaküte",True,True,False,True,False,False,True,False,False,True,True,True,True,False,False,38.0
720.0,3.0,61.5,2020.0,5.0,7.0,2.0,,12.0,14.0,False,False,37.0,False,,,Harjumaa,Tallinn,Paepargi 50/1,Paneelmaja,"põrandaküte, keskküte",False,False,True,False,False,False,False,True,False,True,True,True,True,False,False,47.0
450.0,2.0,37.0,,4.0,,,,1.0,2.0,False,False,16.0,False,,,Tartumaa,Tartu,Oa,Kivimaja,keskküte,True,True,False,False,False,True,False,False,False,False,True,True,True,False,True,35.0
790.0,4.0,76.7,1959.0,,5.0,,,2.0,5.0,False,False,13.0,False,,,Harjumaa,Tallinn,Narva mnt 6,Kivimaja,,True,True,False,False,False,False,False,False,False,False,True,True,True,False,False,36.0
650.0,3.0,49.4,1949.0,3.0,,2.0,,1.0,3.0,False,False,13.0,False,,,Harjumaa,Tallinn,Luha 40,Puitmaja,"õhksoojuspump, elektriküte",True,True,False,False,False,True,False,True,False,False,True,True,True,False,False,39.0
550.0,2.0,44.4,2019.0,5.0,,1.0,,2.0,4.0,False,False,16.0,False,,,Harjumaa,Tallinn,Vanakuu 2,Kivimaja,keskküte,True,True,True,False,False,True,True,False,False,True,True,True,True,False,True,38.0
195.0,1.0,19.7,,4.0,,,,,,False,False,2.0,False,,,Tartumaa,Tartu,Kesk,,keskküte,True,False,False,False,False,True,False,False,False,False,True,True,True,False,True,35.0
650.0,2.0,47.0,2022.0,5.0,,1.0,,3.0,3.0,False,False,16.0,False,,,Harjumaa,Tallinn,Vilmsi 48,Puitmaja,keskküte,True,True,False,False,False,True,True,False,False,False,True,True,True,False,True,43.0
350.0,2.0,46.0,1980.0,3.0,4.0,,,3.0,5.0,False,False,9.0,False,60.0,120.0,Tartumaa,Tartu,Kaunase pst. 26,Paneelmaja,keskküte,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,0.0
